Source,Target,Type,Weight
84,10765,Undirected,1
84,10489,Undirected,1
524,10200,Undirected,1
515,10489,Undirected,1
515,10765,Undirected,1
3267,10520,Undirected,1
2415,10227,Undirected,1
2415,10545,Undirected,1
2415,10065,Undirected,1
43,10142,Undirected,1
43,10520,Undirected,1
2018,10750,Undirected,1
2459,10624,Undirected,1
2459,10527,Undirected,1
2459,10543,Undirected,1
223,10348,Undirected,1
2156,10744,Undirected,1
2156,10093,Undirected,1
2156,10582,Undirected,1
1965,10188,Undirected,1
1965,10079,Undirected,1
1965,10145,Undirected,1
1965,10081,Undirected,1
1965,10214,Undirected,1
1965,10267,Undirected,1
1965,10726,Undirected,1
1965,10603,Undirected,1
1965,10664,Undirected,1
1965,10630,Undirected,1
1965,10098,Undirected,1
1965,10291,Undirected,1
1965,10169,Undirected,1
1965,10168,Undirected,1
1965,10535,Undirected,1
1965,10374,Undirected,1
1965,10028,Undirected,1
1965,10692,Undirected,1
1965,10179,Undirected,1
1965,10545,Undirected,1
1965,10632,Undirected,1
3357,10091,Undirected,1
3357,10639,Undirected,1
3357,10638,Undirected,1
3357,10096,Undirected,1
3357,10071,Undirected,1
3357,10722,Undirected,1
3357,10526,Undirected,1
3357,10490,Undirected,1
26,10288,Undirected,1
2206,10338,Undirected,1
2206,10654,Undirected,1
2206,10136,Undirected,1
2206,10457,Undirected,1
2206,10000,Undirected,1
2206,10491,Undirected,1
2206,10189,Undirected,1
2206,10786,Undirected,1
2206,10091,Undirected,1
2035,10109,Undirected,1
2035,10157,Undirected,1
2035,10658,Undirected,1
2035,10560,Undirected,1
2035,10079,Undirected,1
2035,10498,Undirected,1
2035,10596,Undirected,1
2035,10663,Undirected,1
2035,10374,Undirected,1
1937,10142,Undirected,1
1937,10520,Undirected,1
1937,10501,Undirected,1
609,10520,Undirected,1
609,10627,Undirected,1
609,10509,Undirected,1
609,10542,Undirected,1
609,10383,Undirected,1
609,10046,Undirected,1
277,10432,Undirected,1
277,10288,Undirected,1
277,10520,Undirected,1
2025,10022,Undirected,1
2025,10060,Undirected,1
2025,10061,Undirected,1
2025,10118,Undirected,1
2728,10771,Undirected,1
2728,10440,Undirected,1
298,10000,Undirected,1
298,10189,Undirected,1
222,10103,Undirected,1
222,10105,Undirected,1
222,10231,Undirected,1
2394,10674,Undirected,1
2394,10719,Undirected,1
1033,10052,Undirected,1
1033,10142,Undirected,1
1033,10786,Undirected,1
1033,10189,Undirected,1
1033,10520,Undirected,1
1033,10203,Undirected,1
1033,10264,Undirected,1
1033,10547,Undirected,1
1033,10091,Undirected,1
1033,10077,Undirected,1
1033,10509,Undirected,1
1033,10414,Undirected,1
1033,10320,Undirected,1
1033,10136,Undirected,1
1033,10550,Undirected,1
1033,10742,Undirected,1
1033,10668,Undirected,1
1861,10100,Undirected,1
1696,10082,Undirected,1
1696,10682,Undirected,1
1696,10252,Undirected,1
1696,10291,Undirected,1
1696,10257,Undirected,1
1696,10242,Undirected,1
1696,10059,Undirected,1
2092,10189,Undirected,1
2092,10433,Undirected,1
1992,10786,Undirected,1
1992,10619,Undirected,1
1992,10789,Undirected,1
2300,10520,Undirected,1
23,10521,Undirected,1
23,10432,Undirected,1
23,10509,Undirected,1
1735,10092,Undirected,1
1735,10516,Undirected,1
1735,10234,Undirected,1
1735,10004,Undirected,1
1735,10561,Undirected,1
2327,10092,Undirected,1
